LEAID,lea_name,urbanicity
400786,West Valley Arts and Technology Academy Inc. (90036),Non-Urban
400787,Kaizen Education Foundation dba Vista Grove Prepar (90330),Non-Urban
400788,ASU Preparatory Academy (90273),Non-Urban
400789,Kaizen Education Foundation dba Liberty Arts Acade (90334),Non-Urban
400790,Apache Junction Unified District (4443),Urban
400792,Vector School District Inc. (90317),Non-Urban
400793,Morrison Education Group Inc. (90192),Non-Urban
400794,Western Arizona Vocational District #50 (90123),Non-Urban
400797,Academy Del Sol Inc. (90199),Non-Urban
400798,Pioneer Preparatory School (90140),Non-Urban
400799,Kaizen Education Foundation dba Gilbert Arts Acade (90333),Non-Urban
400800,The Odyssey Preparatory Academy Inc. (90287),Non-Urban
400801,Skyline Gila River Schools LLC (90329),Non-Urban
400802,Imagine Avondale Middle Inc. (90162),Non-Urban
400803,CAFA Inc. dba Learning Foundation and Performing  (90327),Non-Urban
400805,Choice Academies Inc. (90138),Non-Urban
400807,Daisy Education Corporation dba. Sonoran Science A (90284),Non-Urban
400810,Imagine Superstition Middle Inc. (90160),Non-Urban
400814,CPLC Community Schools dba Hiaki High School (90331),Non-Urban
400816,Educational Options Foundation (90201),Non-Urban
400817,Ed Ahead (90506),Non-Urban
400818,BASIS Charter Schools Inc. (90508),Non-Urban
400819,Anthem Preparatory Academy (90532),Non-Urban
400820,Compass Points International Inc (90533),Non-Urban
400821,Pima Prevention Partnership (90536),Non-Urban
400822,Daisy Education Corporation dba. Sonoran Science A (90541),Non-Urban
400823,Kaizen Education Foundation dba Mission Heights Pr (90548),Non-Urban
400824,Leading Edge Academy Maricopa (90637),Non-Urban
400827,Arizona Education Solutions (90758),Non-Urban
400828,Arizona Agribusiness & Equine Center Inc. (90779),Non-Urban
400829,BASIS Charter Schools Inc. (90841),Non-Urban
400830,BASIS Charter Schools Inc. (90842),Non-Urban
400831,BASIS Charter Schools Inc. (90862),Non-Urban
400832,Archway Classical Academy Trivium West (90915),Non-Urban
400833,Archway Classical Academy Veritas (90916),Non-Urban
400834,Archway Classical Academy Chandler (90917),Non-Urban
400838,Arizona Agribusiness & Equine Center Inc. (91131),Non-Urban
400839,Pima Rose Academy Inc. (90997),Non-Urban
400840,Arlington Elementary District (4274),Urban
400841,Archway Classical Academy Scottsdale (90857),Non-Urban
400842,Legacy Traditional School - Northwest Tucson (91137),Non-Urban
400843,BASIS Charter Schools Inc. (91280),Non-Urban
400844,La Tierra Community School Inc (90900),Non-Urban
400845,Leading Edge Academy Queen Creek  (91174),Non-Urban
400846,South Valley Academy Inc. (90540),Non-Urban
400847,Legacy Traditional School - Avondale (91135),Non-Urban
400849,EAGLE College Prep Harmony LLC (91170),Non-Urban
400850,Reid Traditional Schools' Painted Rock Academy Inc (91317),Non-Urban
400851,Trivium Preparatory Academy (90859),Non-Urban
400852,Kaizen Education Foundation dba Havasu Preparatory (90535),Non-Urban
400853,South Phoenix Academy Inc. (91108),Non-Urban
400855,Legacy Traditional School - Chandler (91133),Non-Urban
400857,ASU Preparatory Academy (91307),Non-Urban
400858,ASU Preparatory Academy (91303),Non-Urban
400859,ASU Preparatory Academy (91305),Non-Urban
400861,North Phoenix Preparatory Academy (90879),Non-Urban
400863,The Paideia Academies Inc (91250),Non-Urban
400864,Happy Valley East (90906),Non-Urban
400866,Archway Classical Academy Glendale (91878),Non-Urban
400867,Ball Charter Schools (Val Vista) (90885),Non-Urban
400870,Ash Creek Elementary District (4187),Urban
400871,Legacy Traditional School ? Laveen Village (91763),Non-Urban
400872,Institute for Transformative Education Inc. (90876),Non-Urban
400873,Archway Classical Academy North Phoenix (91758),Non-Urban
400875,Maryvale Preparatory Academy (90861),Non-Urban
400876,George Gervin Youth Center Inc. (90884),Non-Urban
400877,Empower College Prep (91277),Non-Urban
400878,BASIS Charter Schools Inc. (91309),Non-Urban
400879,Scottsdale Country Day School (91110),Non-Urban
400880,Southwest Leadership Academy (92043),Non-Urban
400881,BASIS Charter Schools Inc. (92349),Non-Urban
400882,Kaizen Education Foundation dba Advance U (91329),Non-Urban
400884,ASU Preparatory Academy (92327),Non-Urban
400885,Incito Schools (91326),Non-Urban
400886,Archway Classical Academy Cicero (92314),Non-Urban
400887,Vista College Preparatory Inc. (91948),Non-Urban
400888,Archway Classical Academy Arete (92312),Non-Urban
